2010-07-05 11:14:08 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 126]
2010-07-05 11:14:08 Debug: Notice (8): Undefined variable: xs in [C:\xampp\htdocs\cakecore\app\views\helpers\xmlbuilder.php, line 130]
2010-07-05 17:57:15 Debug: Notice (8): Use of undefined constant ‘user’ - assumed '‘user’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:57:15 Debug: Notice (8): Use of undefined constant ‘user’ - assumed '‘user’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:58:06 Debug: Notice (8): Use of undefined constant ‘user’ - assumed '‘user’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:58:13 Debug: Notice (8): Use of undefined constant ‘UsersController’ - assumed '‘UsersController’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:58:26 Debug: Notice (8): Use of undefined constant ‘User’ - assumed '‘User’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:58:39 Debug: Notice (8): Use of undefined constant ‘users’ - assumed '‘users’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 17:59:51 Debug: Notice (8): Use of undefined constant ‘users’ - assumed '‘users’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 18:00:10 Debug: Notice (8): Use of undefined constant ‘user’ - assumed '‘user’' in [C:\xampp\htdocs\cakecore\app\config\routes.php, line 43]
2010-07-05 18:07:28 Debug: Notice (8): Undefined variable: users in [C:\xampp\htdocs\cakecore\app\views\users\xml\index.ctp, line 4]
2010-07-05 18:07:54 Debug: Notice (8): Undefined variable: users in [C:\xampp\htdocs\cakecore\app\views\users\xml\index.ctp, line 2]
2010-07-05 18:08:24 Debug: Notice (8): Undefined variable: users in [C:\xampp\htdocs\cakecore\app\views\users\xml\index.ctp, line 2]
2010-07-09 00:50:33 Debug: Notice (8): Undefined index: ExposureTime in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 263]
2010-07-09 01:16:35 Debug: Notice (8): Undefined index: ExposureTime in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 264]
2010-07-09 08:13:21 Debug: Notice (8): Undefined index: ApertureValue in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 264]
2010-07-09 09:29:54 Debug: Notice (8): Undefined variable: arrInfos in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 272]
2010-07-09 09:29:54 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 31]
2010-07-09 09:29:54 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 32]
2010-07-09 09:29:54 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 33]
2010-07-09 09:29:54 Debug: Notice (8): Undefined variable: arrInfos in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 273]
2010-07-09 10:58:32 Debug: Notice (8): Undefined variable: x in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 11:20:41 Debug: Notice (8): Undefined index: name in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 11:20:42 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 11:21:32 Debug: Notice (8): Undefined index: name in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 11:21:32 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 11:27:59 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 11:27:59 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 11:28:14 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 11:30:02 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 272]
2010-07-09 11:31:09 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 272]
2010-07-09 11:33:03 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 272]
2010-07-09 11:34:18 Debug: Notice (8): Undefined index: ApertureFNumber in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 272]
2010-07-09 12:04:10 Debug: Notice (8): Undefined index: urls in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 298]
2010-07-09 16:10:34 Debug: Notice (8): Undefined index: type in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 75]
2010-07-09 16:10:34 Debug: Notice (8): Undefined index: error in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 118]
2010-07-09 16:10:34 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 16:10:34 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 16:10:34 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 313]
2010-07-09 16:10:35 Debug: Notice (8): Undefined index: type in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 75]
2010-07-09 16:10:35 Debug: Notice (8): Undefined index: error in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 118]
2010-07-09 16:10:35 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 16:10:35 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 268]
2010-07-09 16:10:35 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 313]
2010-07-09 16:14:26 Debug: Notice (8): Undefined index: type in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 75]
2010-07-09 16:14:26 Debug: Notice (8): Undefined index: error in [C:\xampp\htdocs\cakecore\app\controllers\app_controller.php, line 118]
2010-07-09 16:14:26 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 16:14:26 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 270]
2010-07-09 16:14:26 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 315]
2010-07-13 10:56:51 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 267]
2010-07-13 10:56:51 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 267]
2010-07-13 10:56:51 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 312]
2010-07-13 21:47:25 Debug: Notice (8): Undefined variable: model in [C:\xampp\htdocs\cakecore\app\controllers\photos_controller.php, line 318]
